AccountNumber,LoanId,Name,AmountDue,DateDue,SSN
100001,001,"Snow, John",10000,20180715,1235
100002,002,"Snow, Victor",20000,20180715,1236
100003,003,"Snow, London",30000,20180715,1237
100004,004,"Snow, Roman","4,00000",20180715,1238
100005,005,"Snow, Xavier",5000,20180715,1239
100006,006,"Snow, Lucian","1,00000",20180715,1240
100007,007,"Snow, Julian",10000,20180715,1241
100008,008,"Snow, Mathias",50000,20180715,1242
100009,009,"Snow, Deacon",100,20180715,1243
100010,010,"Snow, Trent",10000,20180715,1244
100011,011,"Snow, Justice",60000,20180715,1245
100012,012,"Snow, Titus",70000,20180715,1246
100013,013,"Snow, Archer",80000,20180715,1247
100014,014,"Snow, Samuel","1,00000",20180715,1248
100015,015,"Snow, Hunter","1,40000",20180715,1249
100016,016,"Snow, Asher",7000,20180715,1250
100017,017,"Snow, Styx",9000,20180715,1251
100018,018,"Snow, Marius",90000,20180715,1252
100019,019,"Snow, Jonathan","10,00000",20180715,1253
100020,020,"Snow, Gregory",30000,20180715,1254
100021,021,"Snow, Isaac",80000,20180715,1255
100022,022,"Snow, Nathaniel",90000,20180715,1256
100023,023,"Snow, Alexander",10000,20180715,1257
100024,024,"Snow, Mason",70000,20180715,1258
100025,025,"Snow, Baron",30000,20180715,1259
100026,026,"Snow, Gabriel",70000,20180715,1260
100027,027,"Snow, Erik",20100,20180715,1261
100028,028,"Snow, Constantine",10000,20180715,1262
100029,029,"Snow, Claudia",70000,20180715,1263
100030,030,"Snow, Victoria",30000,20180715,1264
100031,031,"Rayne, John",50000,20180715,1265
100032,032,"Rayne, Victor",50000,20180715,1266
100033,033,"Rayne, London",50000,20180715,1267
100034,034,"Rayne, Roman",20000,20180715,1268
100035,035,"Rayne, Xavier",50000,20180715,1269
100036,036,"Rayne, Lucian",50000,20180715,1270
100037,037,"Rayne, Julian",50000,20180715,1271
100038,038,"Rayne, Mathias",50000,20180715,1272
100039,039,"Rayne, Deacon",50000,20180715,1273
100040,040,"Rayne, Trent",50000,20180715,1274
100041,041,"Rayne, Justice",50000,20180715,1275
100042,042,"Rayne, Titus",50000,20180715,1276
100043,043,"Rayne, Archer",50000,20180715,1277
100044,044,"Rayne, Samuel",50000,20180715,1278
100045,045,"Rayne, Hunter",50000,20180715,1279
100046,046,"Rayne, Asher",40000,20180715,1280
100047,047,"Rayne, Styx",30000,20180715,1281
100048,048,"Rayne, Marius",30000,20180715,1282
100049,049,"Rayne, Jonathan",50000,20180715,1283
100050,050,"Rayne, Gregory",50000,20180715,1284
100051,051,"Rayne, Isaac",50000,20180715,1285
100052,052,"Rayne, Nathaniel",50000,20180715,1286
100053,053,"Rayne, Alexander",50000,20180715,1287
100054,054,"Rayne, Mason",50000,20180715,1288
100055,055,"Rayne, Baron",30000,20180715,1289
100056,056,"Rayne, Gabriel",50000,20180715,1290
100057,057,"Rayne, Erik",50000,20180715,1291
100058,058,"Rayne, Constantine",50000,20180715,1292
100059,059,"Rayne, Claudia",50000,20180715,1293
100060,060,"Rayne, Victoria",50000,20180715,1294
200061,001,"Storm, John2",4500,20180715,1295
200062,002,"Storm, Victor",14500,20180715,1296
200063,003,"Storm, London",20500,20180715,1297
200064,004,"Storm, Roman",24500,20180715,1298
